,County,WaterstatsID,UtilityType,UtilityName,AWWAGroup,Category,Region,AWWA_City,State_Name,State,Zip,Country,FIPS,City,PopDens,MedianIncome,Ground,Surface,Purchases,PrimarySource,SplitPercent,ResidentialRateStr,RateStruct,Seasonal,ResCharges1000cfService,ResCharges1000cfVolume,ResCharges1000cfTotal,ResCharges1500cfService,ResCharges1500cfVolume,ResCharges1500cfTotal,FixedChargeRatio,WWCharges1000cfService,WWCharges1000cfVolume,WWCharges1000cfTotal,WWCharges1500cfService,WWCharges1500cfVolume,WWCharges1500cfTotal,CombResCharges1000cfService,CombResCharges1000cfVolume,CombResCharges1000cfTotal,CombResCharges1500cfService,CombResCharges1500cfVolume,CombResCharges1500cfTotal,MGDailyWaterTreatmntProdCapacity,MGDAverageDayWaterProduction,MGDMaxDayWaterProduction,AvgPlantUtilization,MaxPlantUtilization,AnnualMGallonsSoldResNonres,AnnualMGallonsSoldWholesale,AnnualMGallonsSoldTotal,SvcPopRetail,SvcPopWholesale,SvcPopTotal,X.x,ScvPop,DailyPerCapitaConsumptionGallons,ActiveAccountResidential,ActiveAccountNonRes,AccountRatio_NonRes,ActiveAccountWholesale,ActiveAccountTotal,BSFullTimeEmployees,MGYWWTotalGallonsTreated,WaterPerEmployee,BSTotalAssets,BSLongtermDebt,DebtRatio,BSTotalAssetsComb,BSLongTermDebtComb,DebtRatioComb,ISOperatingRevenues,ISBeforeDepreciation,IncomeStatement_Depreciation_Expense,OpExpRev,ISInterestExpense,ISNetIncome,DebtPerMG,OpExpPerMG,NonOperatingRevenue,NonOperatingIncome,ISOperatingRevenuesComb,ISBeforeDepreciationComb,OpExpRevComb,ISInterestExpenseComb,ISNetIncomeComb,AverageCapitalNeeds,IncomeStatement_W_C_WW,WaterIS_Period,WastewaterIS_Period,UtilityType.1,WaterOnly,TempAve,TempVar,PrecipAnnual,PrecipSeasonal,MaxCumDef,NDI,X.y,mean,depth
79,Denver,1612,1,Denver Water,A,U,West,Denver,Colorado,CO,80204-3412,USA,8031,Denver,3725.2,51658,0,100,0,1,2,IB,2,1,4.41,14.29,18.7,4.41,21.85,26.26,0.2,0,0,0,0,0,0,4.41,14.29,18.7,4.41,21.85,26.26,715,170.1,341.8,23.79%,47.80%,48543.67,12824.67,61368.34,856000,317000,1173000,0,1173000,143.3354121,206682,23121,0.111867507,24,229827,1095.099976,0,56.03902965,"2,011,698,000.00","360,495,000.00",0.18,"2,011,698,000.00","360,495,000.00",0.18,193030000,"153,041,000.00",36582000,0.79,0,"-21,907,000.00","5,874.28","2,493.81",0,1,"193,030,000.00","153,041,000.00",0.79,0,-21907000,"122,985,200.00",Water only,CY09,N / R,1,1,10.38,12.52,401.36,4.09,20.35468769,109.0553169,432,982,482.8881308
80,Denver,20111,4,Wastewater Management Division,X,U,West,Denver (City),Colorado,CO,80223,USA,8031,Denver,3725.2,51658,0,0,0,NA,,NA,NA,0,0,0,0,0,0,0,#DIV/0!,0,14.59,14.59,0,21.88,21.88,,,14.59,0,21.88,21.88,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,19345,#DIV/0!,0,0,#DIV/0!,"560,182,617.00","21,778,223.00",0.04,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,"75,512,006.00","66,634,107.00",0.88,0,9946610,#DIV/0!,,N / R,FY09,4,0,10.38,12.52,401.36,4.09,20.35468769,109.0553169,432,982,482.8881308
81,Deschutes,3657,2,City of Bend Public Works,C,U,West,Bend,Oregon,OR,97701,USA,41017,Bend,46.1,53433,50,50,0,3,,U,1,0,12.63,7.74,20.37,12.63,14.19,26.82,0.89,33.01,0,33.01,33.01,0,33.01,45.64,7.74,53.38,45.64,14.19,59.83,32,11.93,27.02,37.28%,84.44%,3900,0,3900,60750,0,60750,1,60750,175.8836462,18640,2910,0.15611588,0,21550,27,2117,144.4444444,"96,830,000.00","2,665,000.00",0.03,"233,812,000.00","23,560,000.00",0.1,10533000,"8,471,000.00",2062000,0.8,"150,000.00","3,359,000.00",683.33,"2,172.05",1,1,"22,926,000.00","15,534,000.00",0.68,"984,000.00",7220000,"16,020,000.00",Water only,FY08,FY08,2,1,5.98,10.2,514.66,5.31,0.015389139,0.239880405,434,3129.719697,2555.526805
82,District of Columbia,1630,2,District of Columbia Water & Sewer Authority,A,U,Northeast,Washington (DC Water),District of Columbia,DC,20032,USA,11001,Washington,8271.1,52478,0,0,100,4,,U,1,0,2.01,25.1,27.11,2.01,37.65,39.66,0.05,0,36.1,36.1,0,54.15,54.15,2.01,61.2,63.21,2.01,91.8,93.81,0,0,0,0.00%,0.00%,29343.92,0,29343.92,590000,1600000,2190000,0,0,36.70972665,101030,19872,0.196694051,0,120902,173,108697,169.6180347,"3,372,406,000.00","1,252,778,000.00",0.37,"3,372,406,000.00","1,252,778,000.00",0.37,332398000,"234,019,000.00",59291000,0.7,"51,431,000.00","-1,489,000.00","42,692.93","7,975.04",0,0,"332,398,000.00","468,038,000.00",1.41,"102,862,000.00",-2978000,"446,411,400.00",Combined water and wastewater,FY09,FY09,2,0,13.64,11.9,"1,071.54",1.36,0,0,445,875.8,406.3726123
83,Douglas,4245,2,"Olathe Water Department, City of",C,U,Midwest,Olathe,Kansas,KS,66051-0768,USA,20045,Olathe,226.2,79921,100,0,0,2,2,IB,2,0,4.09,25.28,29.37,4.09,41.28,45.37,0.1,4.3,35.8,40.1,4.3,53.7,58,8.39,61.08,69.47,8.39,94.98,103.37,30,11.59,20.47,38.63%,68.23%,3282.6,272.8,3555.4,0,0,0,1,0,#DIV/0!,32262,1972,0.061124543,4,34238,67,2246.6,53.06567164,"120,769,996.00","32,640,912.00",0.27,"221,533,191.00","63,625,929.00",0.29,13442963,"6,967,993.00",2064176,0.52,0,"588,675.00","9,180.66","1,959.83",0,0,"24,605,658.00","11,520,671.00",0.47,0,1090314,"7,627,846.60",Water only,CY09,CY09,2,1,12.9,13.19,948.1,3.97,0.639021401,1.492663266,459,1578.142977,1315.086934
84,Douglas,1266,1,Omaha Metropolitan Utilities District,A,U,Midwest,Omaha,Nebraska,NE,68102,USA,31055,Omaha,1431,52320,64,36,0,2,,IB,2,1,-,-,17.99,-,-,23.6,#VALUE!,0,0,0,0,0,0,#VALUE!,#VALUE!,17.99,#VALUE!,#VALUE!,23.6,334,85.2,151,25.51%,45.21%,28272.94,498.24,28771.18,838875,0,838875,0,838875,93.9653115,189927,17678,0.093077867,4,207609,866,0,33.22307159,"779,438,140.00","190,370,113.00",0.24,"779,438,140.00","190,370,113.00",0.24,60476112,"60,113,837.00",10817069,0.99,"7,912,004.00","-15,798,266.00","6,616.69","2,089.38",1,1,"60,476,112.00","60,113,837.00",0.99,"7,912,004.00",-15798266,"43,565,029.80",Water only,FY09,N / R,1,1,10.21,14.33,773.68,5.16,11.06182908,4.922948627,459,1578.142977,1315.086934
85,DuPage,1092,2,"Naperville, Dept. of Public Utilities, City of",C,U,Midwest,Naperville,Illinois,IL,60566-7020,USA,17043,Naperville,2817.9,116095,0,0,100,4,,U,1,0,2.5,23.7,26.2,2.5,35.55,38.05,0.07,8,12.2,20.2,8,18.3,26.3,10.5,35.9,46.4,10.5,53.85,64.35,0,0,0,0.00%,0.00%,5846,0,5846,149560,0,149560,1,0,107.0903875,38318,3382,0.088261392,0,41700,47,8938,124.3829787,"247,730,000.00","8,891,000.00",0.04,"247,730,000.00","8,891,000.00",0.04,26701000,"26,346,000.00",10488000,0.99,19,"-9,481,019.00","1,520.87","4,506.67",0,0,"26,701,000.00","52,692,000.00",1.97,38,-18962038,"3,687,144.80",Combined water and wastewater,FY09,FY09,2,0,9.75,13.4,931.27,2.08,25.85365971,451.5632514,467,2318.178947,1073.40405
86,Durham,1242,2,"Durham, City of",B,U,South,Durham,North Carolina,NC,27704,USA,37063,Durham,827.5,53829,0,100,0,1,2,IB,2,0,5.11,27.15,32.26,5.11,45.7,50.81,0.11,5.71,32.8,38.51,5.71,49.2,54.91,10.82,59.95,70.77,10.82,94.9,105.72,52,26.087,35.69,50.17%,68.63%,7455.31,0,7455.31,234508,0,234508,0,0,87.09940322,70386,7482,0.106299548,0,77868,142,7389.8,52.5021831,"594,059,835.00","110,965,701.00",0.19,"594,059,835.00","110,965,701.00",0.19,63591530,"43,316,983.00",14270103,0.68,"3,735,866.00","6,519,553.00","14,884.12","5,810.22",0,1,"63,591,530.00","43,316,983.00",0.68,"3,735,866.00",6519553,"27,436,400.00",Combined water and wastewater,FY09,FY09,2,0,15.13,10.6,"1,128.23",1.39,0.025920326,3.514761861,469,1167.581818,736.2633811
87,Duval,1022,2,JEA,A,U,South,Jacksonville (JEA),Florida,FL,32202,USA,12031,Jacksonville,1018.5,52725,100,0,0,2,2,IB,2,0,11.08,8.48,19.56,11.08,14.27,25.35,0.78,7.34,38.07,45.41,7.34,57.85,65.19,18.42,46.55,64.97,18.42,72.12,90.54,164.29,118.856,145.063,72.35%,88.30%,36845.94,0,36845.94,900000,0,9.00E+05,0,0,112.1642009,246276,58800,0.238756517,0,305076,200,27698.811,184.2297,"3,116,726,000.00","1,916,468,000.00",0.61,"3,116,726,000.00","1,916,468,000.00",0.61,249952000,"113,402,000.00",129628000,0.45,"72,714,000.00","-33,927,000.00","52,013.00","3,077.73",1,1,"249,952,000.00","226,804,000.00",0.91,"145,428,000.00",-67854000,"54,678,000.00",Combined water and wastewater,FY09,FY09,2,0,19.6,6.81,"1,304.11",2.64,0.187862423,166.0013677,471,689,94.75230868
88,East Baton Rouge,20034,4,City of Baton Rouge/Parish of East Baton Rouge,X,U,South,Baton Rouge,Louisiana,LA,70805,USA,22033,Baton Rouge,914.2,39715,0,0,0,NA,,NA,NA,0,0,0,0,0,0,0,#DIV/0!,15.91,17.28,33.19,15.91,31.68,47.59,,,33.19,15.91,31.68,47.59,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,23606,#DIV/0!,0,0,#DIV/0!,"1,020,023,000.00","393,159,000.00",0.39,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,"68,280,000.00","39,887,000.00",0.58,"11,981,000.00",41917000,#DIV/0!,,N / R,FY09,4,0,19.67,8.08,"1,528.85",1.38,0.049188887,85.19899405,475,1277.394737,720.2159193
89,El Dorado,6817,1,South Tahoe Public Utility District,C,U,West,South Lake Tahoe,California,CA,96150,USA,6017,South Lake Tahoe,97.3,45390,100,0,0,2,2,U,1,0,20.68,22,42.68,20.68,33,53.68,0.63,0,0,0,0,0,0,20.68,22,42.68,20.68,33,53.68,22.6,6.18,12.87,27.35%,56.95%,1917.34,0,1917.34,30050,0,30050,1,30050,174.8081964,13357,643,0.048139552,0,14000,44,0,43.57590909,"88,894,135.00","5,476,245.00",0.06,"88,894,135.00","5,476,245.00",0.06,9957188,"7,890,038.00",1970934,0.79,"360,866.00","4,744,611.00","2,856.17","4,115.10",1,1,"9,957,188.00","7,890,038.00",0.79,"360,866.00",4744611,"7,855,200.00",Water only,FY09,N / R,1,1,10.33,9.8,"1,088.26",20.48,0.051320966,16.99592776,488,744.8538462,401.1026297
90,El Paso,1502,2,El Paso Water Utilities,A,U,South,El Paso,Texas,TX,79961-0001,USA,48141,El Paso,719.1,42012,49.4,50.6,0,3,,IB,2,0,10.7,8.7,19.4,10.7,17.9,28.6,0.6,10.11,5.72,15.83,10.11,11.43,21.54,20.81,14.42,35.23,20.81,29.33,50.14,332.5,101.6,152.6,30.56%,45.89%,31871,2276,34147,700000,65000,765000,0,0,122.2920584,185673,17825,0.096002111,7,203505,342,21410.9,99.84502924,"1,257,013,324.00","517,578,795.00",0.41,"1,257,013,324.00","517,578,795.00",0.41,160655304,"94,398,539.00",46442835,0.59,"23,772,720.00","450,503.00","15,157.37","2,764.48",1,0,"160,655,304.00","188,797,078.00",1.18,"47,545,440.00",901006,"34,527,500.00",Combined water and wastewater,FY09,FY09,2,0,17.1,10.41,232.11,6.26,19.87467997,23.47811481,489,1692.15625,1305.566244
91,Erie,20068,4,Buffalo Sewer Authority,X,U,Northeast,Buffalo (BSA),New York,NY,14202,USA,36029,Buffalo,904.7,32088,0,0,0,NA,,NA,NA,0,0,0,0,0,0,0,#DIV/0!,39.78,0,39.78,39.78,1.85,41.63,,,39.78,39.78,1.85,41.63,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,48509,#DIV/0!,0,0,#DIV/0!,"328,700,000.00","78,200,000.00",0.24,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,"55,700,000.00","47,600,000.00",0.85,0,8100000,#DIV/0!,,N / R,CY09,4,0,7.49,11.21,999.7,1.39,0.139436281,15.41536181,502,980.4259558,548.2218946
92,Erie,1346,1,Erie County Water Authority,B,U,Northeast,Buffalo (ECWA),New York,NY,14203,USA,36029,Cheektowaga,904.7,32088,0,100,0,1,2,DB,3,1,8.88,13.26,22.14,8.88,24.33,33.21,0.36,0,0,0,0,0,0,8.88,13.26,22.14,8.88,24.33,33.21,140,67.61,89.01,48.29%,63.58%,14940.5,2329.11,17269.61,495000,55000,550000,0,550000,86.02545455,148697,9352,0.062892997,20,158069,258.8999939,0,66.70378682,"419,378,108.00","98,638,446.00",0.24,"419,378,108.00","98,638,446.00",0.24,54161408,"31,854,356.00",10666557,0.59,"4,606,955.00","5,168,490.00","5,711.68","1,844.53",1,1,"54,161,408.00","31,854,356.00",0.59,"4,606,955.00",5168490,"15,082,473.40",Water only,FY09,N / R,1,1,7.49,11.21,999.7,1.39,0.139436281,15.41536181,502,980.4259558,548.2218946
93,Erie,1437,1,Erie Water Authority,C,U,Northeast,Erie,Pennsylvania,PA,16507,USA,42049,Erie,348.8,37125,0,100,0,1,2,DB,3,0,4.73,25.4,30.13,4.73,38.1,42.83,0.12,0,0,0,0,0,0,4.73,25.4,30.13,4.73,38.1,42.83,62,26.215,32.738,42.28%,52.80%,6149.16,981.667,7130.827,180000,10173,190173,1,190173,102.7302105,48383,4021,0.083107703,6,52410,111,0,64.24168469,"195,687,802.00","188,806,309.00",0.96,"195,687,802.00","188,806,309.00",0.96,23734220,"16,118,764.00",6198897,0.68,"7,825,839.00","-4,480,929.00","26,477.48","2,260.43",0,1,"23,734,220.00","16,118,764.00",0.68,"7,825,839.00",-4480929,"16,945,200.00",Water only,FY09,N / R,1,1,7.05,10.11,"1,037.29",1.44,0.041815451,1672.835491,502,980.4259558,548.2218946
94,Escambia,1127,2,Emerald Coast Utilities Authority,B,U,South,Pensacola,Florida,FL,32514,USA,12033,Pensacola,466,45484,100,0,0,2,2,U,1,0,8.69,13.31,22,8.69,19.97,28.66,0.44,9.9,29.54,39.44,9.9,49.7,59.6,18.59,42.85,61.44,18.59,69.67,88.26,71.1,33.03,58.42,46.46%,82.17%,10504,0,10504,300000,0,3.00E+05,1,0,95.92694064,85481,9175,0.107333793,0,94656,117,7878,89.77777778,"819,109,138.00","305,558,685.00",0.37,"819,109,138.00","305,558,685.00",0.37,29463410,"46,540,382.00",16757762,1.58,"13,473,057.00","92,881,578.00","29,089.75","4,430.73",0,0,"29,463,410.00","93,080,764.00",3.16,"26,946,114.00",198639529,"12,920,000.00",Combined water and wastewater,FY09,FY09,2,0,15.93,6.61,"1,545.33",1.56,0.027890152,39.18943044,503,1731.166667,1528.112986
95,Fairfax,1554,1,Fairfax County Water Authority,A,U,South,Fairfax,Virginia,VA,22031,USA,51059,Fairfax,2549.4,105998,0,100,0,1,2,U,1,1,2.35,13.69,16.04,2.35,20.53,22.88,0.11,0,0,0,0,0,0,2.35,13.69,16.04,2.35,20.53,22.88,345,144.8,217.1,41.97%,62.93%,26289,22548,48837,900000,800000,1700000,0,1700000,78.70588235,224275,8839,0.039411437,9,233123,389,0,125.5449871,"1,807,927,827.00","485,817,561.00",0.27,"1,807,927,827.00","485,817,561.00",0.27,126388854,"73,124,639.00",28908153,0.58,"21,154,541.00","15,064,831.00","9,947.74","1,497.32",1,1,"126,388,854.00","73,124,639.00",0.58,"21,154,541.00",15064831,"71,640,000.00",Water only,CY09,N / R,1,1,13.19,11.79,"1,065.08",1.38,22.8049337,1.429796282,511,1812.525641,1244.817378
96,Fairfield,1620,1,Aquarion Water Company,B,U,Northeast,Bridgeport,Connecticut,CT,6606,USA,9001,Bridgeport,1411.9,45326,6,84,10,1,,DB,3,0,10.5,33.72,44.22,10.5,50.58,61.08,0.21,0,0,0,0,0,0,10.5,33.72,44.22,10.5,50.58,61.08,118.4,74.4,108.2,62.84%,91.39%,20935.003,1740.269,22675.272,586615,0,586615,0,586615,105.9025645,163190,18018,0.110411177,2,181210,264,0,85.89118182,"829,642,149.00","207,770,974.00",0.25,"829,642,149.00","207,770,974.00",0.25,129319165,"78,928,340.00",25639071,0.61,"12,555,744.00","13,705,254.00","9,162.89","3,480.81",0,1,"129,319,165.00","78,928,340.00",0.61,"12,555,744.00",13705254,"39,760,000.00",Water only,CY09,N / R,1,1,7.99,9.89,"1,157.93",1.23,1.401410831,7.276891673,512,790.502381,610.5781622
97,Flathead,4346,2,"Kalispell, City of",C,U,West,Kalispell,Montana,MT,59901,USA,30029,Kalispell,15.1,37360,100,0,0,2,2,U,1,1,2.67,18.17,20.84,2.67,27.26,29.93,0.1,1.87,31.34,33.21,1.87,47.01,48.88,4.54,49.51,54.05,4.54,74.27,78.81,15.26,3.93,10.04,25.75%,65.79%,1221.4,0,1221.4,21182,0,21182,0,21182,157.978537,6575,1546,0.23513308,0,8121,15.94999981,937.6,76.57680342,"29,989,380.00","3,800,000.00",0.13,"90,324,500.00","19,541,000.00",0.22,2562569,"1,701,204.00",721830,0.66,"174,385.00","373,130.00","3,111.18","1,392.83",1,0,"6,726,326.00","4,676,950.00",0.7,"759,511.00",248665,"1,694,168.00",Water only,FY09,FY09,2,1,2.47,11.81,"1,043.24",2.18,0.009957457,#N/A,526,1402.115324,1159.759707
98,Floyd,2570,2,"Rome Water Department, City of",C,U,South,Rome,Georgia,GA,30161/Floyd,USA,13115,Rome,182.2,40450,0,100,0,1,2,U,1,0,8.5,20.07,28.57,8.5,31.22,39.72,0.27,9.5,30.15,39.65,9.5,46.9,56.4,18,50.22,68.22,18,78.12,96.12,18,8,13,44.44%,72.22%,2771,0,2771,48000,12000,60000,1,0,126.5296804,17000,1000,0.058823529,1,18001,35,5125,79.17142857,"181,000,262.00","68,568,192.00",0.38,"181,000,262.00","68,568,192.00",0.38,19944953,"13,787,148.00",5561001,0.69,0,"912,546.00","24,744.93","4,975.51",1,0,"19,944,953.00","27,574,296.00",1.38,0,1825092,"1,120,000.00",Combined water and wastewater,FY09,CY09,2,0,15.43,10.13,"1,348.05",1.45,0.006002362,26.29080526,530,1645.475083,1141.35696
99,Forsyth,1258,2,"Winston-Salem Utilities, City of",B,U,South,Winston-Salem,North Carolina,NC,27101,USA,37067,Winston-Salem,782.8,48397,0,100,0,1,,IDB,4,0,2.01,18.43,20.44,2.01,29.72,31.73,0.07,1.62,19.06,20.68,1.62,28.59,30.21,3.63,37.49,41.12,3.63,58.31,61.94,73,36.8,51.5,50.41%,70.55%,12067,0,11957,270528,15500,286028,0,0,114.53041,110212,9979,0.090543679,0,121095,165,11607.82,72.46666667,"806,335,000.00","405,781,000.00",0.5,"806,335,000.00","405,781,000.00",0.5,66599000,"34,953,000.00",19752602,0.52,"13,075,927.00","-15,986,139.00","33,936.69","2,923.22",0,1,"66,599,000.00","69,906,000.00",1.05,"26,151,854.00",-26220390,"12,527,000.00",Combined water and wastewater,FY09,FY09,2,0,14.6,10.55,"1,133.14",1.31,0.04935681,5.832975041,536,1273.259259,549.7338232
100,Franklin,20073,2,"City of Columbus, Dept. of Public Utilities",A,U,Midwest,Columbus,Ohio,OH,43215,USA,39049,Columbus,2121.3,49562,10.8,89.2,0,1,,IB,2,0,6.02,22.7,28.72,6.02,34.66,40.68,0.17,3.28,33.8,37.08,3.28,50.7,53.98,9.3,56.5,65.8,9.3,85.36,94.66,215,141.01,179.15,65.59%,83.33%,35222.26,2992.69,38214.95,1115200,0,1115200,0,1115200,93.88315383,249084,23803,0.09556214,10,272897,505,55930,75.67316832,"680,672,000.00","370,741,000.00",0.54,"2,935,631,000.00","1,828,288,000.00",0.62,145792000,"95,287,000.00",17993000,0.65,0,"20,235,000.00","9,701.47","2,493.45",0,0,"359,781,000.00","181,583,000.00",0.5,0,56514000,"129,663,681.60",Water only,CY09,CY09,2,1,11.15,12.18,978.91,1.65,23.38075383,7.696681601,539,1740.932627,1410.465991
101,Fulton,1052,2,Atlanta Water Department,B,U,South,Atlanta,Georgia,GA,30310,USA,13121,Atlanta,1634.3,45472,0,100,0,1,2,IB,2,0,4.63,35.52,45.11,4.63,57.96,70.31,0.08,4.63,93.48,110.69,4.63,148.69,172.94,9.26,129,155.8,9.26,206.65,243.25,246.4,89.87,115.75,36.47%,46.98%,23421,0,23421,1200000,0,1200000,0,0,53.47260274,146000,0,0,0,146000,389,0,60.20822622,"5,804,010,000.00","3,411,603,000.00",0.59,"5,804,010,000.00","3,411,603,000.00",0.59,351743000,"231,897,000.00",76390000,0.66,"11,724,000.00","166,383,000.00","145,664.28","9,901.24",1,0,"351,743,000.00","463,794,000.00",1.32,"23,448,000.00",332766000,"44,898,987.80",Combined water and wastewater,FY09,FY09,2,0,15.98,9.79,"1,310.14",1.43,0.569934758,0.781726601,546,1264.694712,868.024249
102,Gallatin,4343,2,City of Bozeman,C,U,West,Bozeman,Montana,MT,59771,USA,30031,Bozeman,29.2,42054,0,100,0,1,2,IB,2,0,13,21.48,34.48,13,35.7,48.7,0.36,13.37,22.2,35.57,13.37,33.3,46.67,26.37,43.68,70.05,26.37,69,95.37,0,4.9,0,0.00%,0.00%,0,0,0,35000,0,35000,1,0,0,9230,1141,0.123618635,0,10371,24.88999939,1795.8,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,#DIV/0!,#DIV/0!,0,0,0,0,#DIV/0!,0,0,#DIV/0!,,N / R,N / R,2,0,3.21,12.78,667.76,1.85,0.03199731,1.559932213,551,1109.657674,1006.564902
103,Grand Forks,20058,1,Grand Forks Water,C,U,Midwest,Grand Forks,North Dakota,ND,58201,USA,38035,Grand Forks,45.5,44719,0,100,0,1,2,U,1,0,5.41,20.87,26.28,5.41,31.3,36.71,0.17,0,0,0,0,0,0,5.41,20.87,26.28,5.41,31.3,36.71,16.5,8,11.5,48.48%,69.70%,2337.204,141.696,2478.9,50000,0,50000,1,50000,135.830137,12042,2060,0.171067929,1,14103,31,0,79.96451613,"95,637,682.00","17,367,682.00",0.18,"95,637,682.00","17,367,682.00",0.18,7753898,"5,814,415.00",2334106,0.75,0,"-389,907.00","7,006.21","2,345.56",0,0,"7,753,898.00","5,814,415.00",0.75,0,-389907,"11,261,300.00",Water only,CY09,N / R,1,1,4.25,16.32,502.94,5.76,0.802110367,0.279559043,599,742.3563636,257.4623995
104,Grand Traverse,3104,1,Traverse City Water Department,C,U,Midwest,Traverse City,Michigan,MI,49684,USA,26055,Traverse City,175.6,48820,0,100,0,1,2,NA,4,0,14,0,14,18,0,18,#DIV/0!,0,0,0,0,0,0,14,0,14,18,0,18,20,3,14.7,15.00%,73.50%,1754,0,1754,15000,15000,30000,1,30000,160.1826484,0,0,#DIV/0!,0,0,6,0,292.3333333,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,#DIV/0!,0,0,"1,225,000.00",,N / R,N / R,1,1,6.46,12.22,817.72,1.82,0.009569841,0.663883265,600,1051,569.8798119
105,Graves,2622,2,Mayfield Electric & Water,C,U,South,Mayfield,Kentucky,KY,42066,USA,21083,Mayfield,66.2,26679,0,0,0,4,,DB,3,0,5.75,16.17,21.92,5.75,24.7,30.45,0.23,7.68,21.04,28.72,7.68,35.4,43.08,13.43,37.21,50.64,13.43,60.1,73.53,2.9,1.786355,3,61.60%,103.45%,442,84,526,4875,2,4877,0,4877,295.4881875,4209,666,0.158232359,2,4877,7,3.5,75.14285714,"4,180,629.85","817,962.08",0.2,"11,191,964.55","2,319,913.40",0.21,1358085,"1,244,582.00",0,0.92,0,"135,683.00","1,555.06","2,366.13",1,0,"2,939,026.00","2,717,911.00",0.92,0,1110687,#DIV/0!,Water only,CY09,FY09,2,1,14.45,11.42,"1,296.51",1.43,0.280615746,3.87586161,604,2353.117647,1148.020098
106,Guadalupe,4022,2,"Schertz Water Department, City of",C,U,South,Schertz,Texas,TX,78154,USA,48187,Schertz,146.2,72133,0.01,0,99.99,4,,IB,2,0,18.94,16.88,35.82,18.94,28.87,47.81,0.66,3.75,19.83,23.58,3.75,29.74,33.49,22.69,36.71,59.4,22.69,58.61,81.3,12,3.7,6.9,30.83%,57.50%,1428.4,0,1428.4,33000,0,33000,0,33000,118.588626,10739,716,0.066672875,0,11455,16,0,89.275,"50,719,445.14","5,780,425.76",0.11,"50,719,445.14","11,560,851.76",0.23,7100000,"6,900,000.00",200000,0.97,0,"7,379,100.00","4,046.78","4,830.58",1,1,"9,780,000.00","9,550,000.00",0.98,0,7409100,"775,200.00",Water only,N / R,FY09,2,1,20.19,8.77,844.88,2.01,0.113588578,30.73731698,622,2478.583333,1653.950173
107,Guilford,1248,2,"Greensboro, City of",B,U,South,Greensboro,North Carolina,NC,27406,USA,37081,Greensboro,690.1,51869,0,88.9,11.1,1,,IB,2,0,2.95,20.9,23.85,2.95,35.4,38.35,0.08,2.95,28.5,31.45,2.95,42.75,45.7,5.9,49.4,55.3,5.9,78.15,84.05,54,31.02,40.35,57.44%,74.72%,10463.8,0,10463.8,260000,0,260000,1,0,110.2613277,91823,9174,0.099909609,0,100997,154,10483,67.94675325,"679,257,765.00","273,823,500.00",0.4,"679,257,765.00","273,823,500.00",0.4,85686716,"49,582,485.00",16468360,0.58,"8,167,404.00","11,382,612.00","26,168.65","4,738.48",0,1,"85,686,716.00","49,582,485.00",0.58,"8,167,404.00",11382612,"18,423,751.80",Combined water and wastewater,FY09,N / R,2,0,14.9,10.61,"1,124.06",1.35,0.078511299,0.898139247,628,1079.329193,323.4349003
108,Gwinnett,1057,2,Gwinnett County Department of Water Resources,B,U,South,Gwinnett County,Georgia,GA,30043,USA,13135,Lawrenceville,1695,79171,0,100,0,1,2,IB,2,0,7.5,30.74,38.24,7.5,52.73,60.23,0.14,5,40.24,45.24,5,60.36,65.36,12.5,70.98,83.48,12.5,113.09,125.59,225,71.3,103.1,31.69%,45.82%,22246.75,1123.758,23370.508,780000,0,780000,0,0,82.08819108,209912,9114,0.043418194,8,219034,83,19458.15,281.5723855,"3,385,638,000.00","1,090,955,000.00",0.32,"3,385,638,000.00","1,090,955,000.00",0.32,208029000,"97,020,000.00",65449000,0.47,"31,281,000.00","30,522,000.00","46,680.84","4,151.39",1,0,"208,029,000.00","97,020,000.00",0.47,"31,281,000.00",30522000,"12,717,471.40",Combined water and wastewater,FY09,FY09,2,0,15.76,9.81,"1,326.78",1.41,0.22012435,6.014123893,633,1251.333333,961.1780432
